graph_type,vertex_count,edge_count,pathfinder,time_nanos
Partial,760,760,121454,Dijkstra,20976023
Partial,760,760,121454,Floyd-Warshall,819730650
Partial,760,760,121454,Bellman-Ford,1632837906
Partial,760,760,121454,SPFA,1334290
Partial,810,810,136714,Dijkstra,28814526
Partial,810,810,136714,Floyd-Warshall,967999724
Partial,810,810,136714,Bellman-Ford,2021931460
Partial,810,810,136714,SPFA,1535882
Partial,860,860,171718,Dijkstra,44041088
Partial,860,860,171718,Floyd-Warshall,1156715149
Partial,860,860,171718,Bellman-Ford,2987723297
Partial,860,860,171718,SPFA,1771024
Partial,910,910,197660,Dijkstra,40175759
Partial,910,910,197660,Floyd-Warshall,1454528401
Partial,910,910,197660,Bellman-Ford,3892951227
Partial,910,910,197660,SPFA,1999451
Partial,960,960,222121,Dijkstra,37770391
Partial,960,960,222121,Floyd-Warshall,1680130255
Partial,960,960,222121,Bellman-Ford,4811015567
Partial,960,960,222121,SPFA,2366428
Partial,1010,1010,226491,Dijkstra,57947963
Partial,1010,1010,226491,Floyd-Warshall,2054098990
Partial,1010,1010,226491,Bellman-Ford,5174196879
Partial,1010,1010,226491,SPFA,2675735
Tree,10,10,9,Dijkstra,336
Tree,10,10,9,Floyd-Warshall,3300
Tree,10,10,9,Bellman-Ford,1140
Tree,10,10,9,SPFA,237
Tree,60,60,59,Dijkstra,3361
Tree,60,60,59,Floyd-Warshall,437245
Tree,60,60,59,Bellman-Ford,49540
Tree,60,60,59,SPFA,843
Tree,110,110,109,Dijkstra,7384
Tree,110,110,109,Floyd-Warshall,2262356
Tree,110,110,109,Bellman-Ford,176514
Tree,110,110,109,SPFA,1522
Tree,160,160,159,Dijkstra,22550
Tree,160,160,159,Floyd-Warshall,6980629
Tree,160,160,159,Bellman-Ford,390803
Tree,160,160,159,SPFA,2372
Tree,210,210,209,Dijkstra,39836
Tree,210,210,209,Floyd-Warshall,14947310
Tree,210,210,209,Bellman-Ford,684410
Tree,210,210,209,SPFA,3382
Tree,260,260,259,Dijkstra,51830
Tree,260,260,259,Floyd-Warshall,27988805
Tree,260,260,259,Bellman-Ford,1083477
Tree,260,260,259,SPFA,4139
Tree,310,310,309,Dijkstra,67745
Tree,310,310,309,Floyd-Warshall,48236538
Tree,310,310,309,Bellman-Ford,1505221
Tree,310,310,309,SPFA,5210
Tree,360,360,359,Dijkstra,73664
Tree,360,360,359,Floyd-Warshall,73917425
Tree,360,360,359,Bellman-Ford,2098109
Tree,360,360,359,SPFA,6980
Tree,410,410,409,Dijkstra,98737
Tree,410,410,409,Floyd-Warshall,109267651
Tree,410,410,409,Bellman-Ford,2659461
Tree,410,410,409,SPFA,7702
Tree,460,460,459,Dijkstra,123812
Tree,460,460,459,Floyd-Warshall,151762318
Tree,460,460,459,Bellman-Ford,3404297
